question,context,answer,model_answer,match_percentages
Что такое машинное обучение?,"Машинное обучение - это область искусственного интеллекта, которая фокусируется на создании систем, способных учиться и улучшаться на основе опыта.","Область искусственного интеллекта, фокусирующаяся на обучении систем на основе опыта.",область искусственного интеллекта,"{'P': 0.8975809812545776, 'R': 0.7009404897689819, 'F1': 0.7871659994125366}"
Каковы основные типы машинного обучения?,"Существуют три основных типа: обучение с учителем, обучение без учителя и полусупервизорное обучение.","Обучение с учителем, обучение без учителя и полусупервизорное обучение.","обучение с учителем,","{'P': 0.8684155344963074, 'R': 0.7451720237731934, 'F1': 0.8020871877670288}"
Что такое переобучение?,"Переобучение происходит, когда модель слишком сложна и запоминает обучающие данные, вместо того чтобы обобщать на новые данные.",Когда модель запоминает обучающие данные и не обобщает на новые.,"Переоснащение происходит, когда модель слишком сложна","{'P': 0.7082555294036865, 'R': 0.6867864727973938, 'F1': 0.6973558068275452}"
Что такое валидация в машинном обучении?,"Валидация используется для оценки производительности модели на независимом наборе данных, чтобы избежать переобучения.",Процесс оценки производительности модели на независимом наборе данных.,используется для оценки производительности модели на независимом наборе данных,"{'P': 0.9221855998039246, 'R': 0.9004402160644531, 'F1': 0.9111831188201904}"
Что такое нейронная сеть?,"Нейронная сеть - это модель, вдохновленная работой человеческого мозга, которая состоит из узлов (нейронов), соединенных между собой.","Модель, вдохновленная работой мозга, состоящая из узлов.","модель, вдохновленная работой человеческого мозга,","{'P': 0.8642408847808838, 'R': 0.8062986731529236, 'F1': 0.8342649340629578}"
Что такое градиентный спуск?,"Градиентный спуск — это метод оптимизации, используемый для минимизации функции потерь, обновляя параметры модели в направлении, противоположном градиенту.","Метод оптимизации для минимизации функции потерь, обновляя параметры модели.",метод оптимизации,"{'P': 0.8805716037750244, 'R': 0.7317199110984802, 'F1': 0.7992745041847229}"
Что такое функция потерь?,"Функция потерь измеряет разницу между предсказанными значениями модели и фактическими значениями. Она позволяет оценить, насколько хорошо работает модель.",Мера разницы между предсказанными и фактическими значениями модели.,измеряет разницу между прогнозируемыми значениями модели,"{'P': 0.7838901281356812, 'R': 0.8095446825027466, 'F1': 0.7965108752250671}"
Как устроено обучение с учителем?,"При обучении с учителем модель обучается на размеченных данных, где входные данные соответствуют известным выходным значениям.",Модель обучается на размеченных данных для предсказания выходных значений.,"модель обучается на основе помеченных данных,","{'P': 0.8028973340988159, 'R': 0.7550368309020996, 'F1': 0.7782319784164429}"
Что такое случайный лес?,"Случайный лес - это ансамблевая модель, состоящая из множества деревьев принятия решений, которая объединяет их предсказания для повышения точности.",Ансамблевая модель из множества деревьев принятия решений для повышения точности.,"модель ансамбля, состоящая из нескольких деревьев принятия решений","{'P': 0.7992459535598755, 'R': 0.7748571634292603, 'F1': 0.7868626117706299}"
Что такое свертка в сверточной нейронной сети?,"Свертка - это операция, применяемая к входным данным для извлечения особенностей, которая используется в сверточных нейронных сетях для обработки изображений.",Операция для извлечения особенностей из входных данных в нейронных сетях.,"операция, применяемая к входным данным для извлечения объектов,","{'P': 0.7694987654685974, 'R': 0.7766690850257874, 'F1': 0.7730672955513}"
Что такое гиперпараметры?,"Гиперпараметры - это параметры, которые устанавливаются перед обучением модели и влияют на ее производительность, такие как скорость обучения или глубина дерева.","Параметры, устанавливаемые до обучения, влияющие на производительность модели.","параметры, которые задаются перед обучением модели","{'P': 0.7797330617904663, 'R': 0.7217012643814087, 'F1': 0.7495957016944885}"
Что такое переобучение и недообучение?,"Переобучение происходит, когда модель слишком хорошо подстраивается под данные и не обобщает. Недообучение - это когда модель не достаточна для захвата структуры данных.","Переобучение - это запись данных, недообучение - недостаточное качество модели.",когда модели недостаточно для описания структуры данных.,"{'P': 0.7619829177856445, 'R': 0.685558557510376, 'F1': 0.7217532992362976}"
Что такое кластеризация?,"Кластеризация - это метод обучения без учителя, который группирует похожие данные в кластеры, основываясь на сходстве признаков.",Метод группировки похожих данных в кластеры на основе признаков.,метод обучения без присмотра,"{'P': 0.6723452806472778, 'R': 0.6556996703147888, 'F1': 0.6639181971549988}"
Что такое кросс-валидация?,"Кросс-валидация - это метод оценки модели, который делит данные на несколько частей, тренируя и тестируя модель на разных поднаборах.","Метод оценки, который делит данные на части для тренировки и тестирования.",метод оценки модели,"{'P': 0.7960169315338135, 'R': 0.6871806383132935, 'F1': 0.737605631351471}"
Что такое регуляризация?,"Регуляризация - это метод, используемый для уменьшения переобучения путем добавления штрафа к функции потерь в зависимости от сложности модели.",Метод уменьшения переобучения через добавление штрафа к функции потерь.,"метод, используемый для уменьшения переобучения","{'P': 0.7857778668403625, 'R': 0.7713316679000854, 'F1': 0.7784877419471741}"
