question,context,answer,model_answer,match_percentages
Что такое машинное обучение?,"Машинное обучение - это область искусственного интеллекта, которая фокусируется на создании систем, способных учиться и улучшаться на основе опыта.","Область искусственного интеллекта, фокусирующаяся на обучении систем на основе опыта.",область искусственного интеллекта,"{'P': 0.8975809812545776, 'R': 0.7009404897689819, 'F1': 0.7871659994125366}"
Каковы основные типы машинного обучения?,"Существуют три основных типа: обучение с учителем, обучение без учителя и полусупервизорное обучение.","Обучение с учителем, обучение без учителя и полусупервизорное обучение.",обучение под непосредственным наблюдением,"{'P': 0.6812325119972229, 'R': 0.7169758081436157, 'F1': 0.6986472606658936}"
Что такое переобучение?,"Переобучение происходит, когда модель слишком сложна и запоминает обучающие данные, вместо того чтобы обобщать на новые данные.",Когда модель запоминает обучающие данные и не обобщает на новые.,обобщение на основе новых данных,"{'P': 0.7357343435287476, 'R': 0.7031779289245605, 'F1': 0.7190878391265869}"
Что такое валидация в машинном обучении?,"Валидация используется для оценки производительности модели на независимом наборе данных, чтобы избежать переобучения.",Процесс оценки производительности модели на независимом наборе данных.,для оценки производительности модели на независимом наборе данных,"{'P': 0.944356381893158, 'R': 0.9080473184585571, 'F1': 0.9258460402488708}"
Что такое нейронная сеть?,"Нейронная сеть - это модель, вдохновленная работой человеческого мозга, которая состоит из узлов (нейронов), соединенных между собой.","Модель, вдохновленная работой мозга, состоящая из узлов.","модель, вдохновленная работой человеческого мозга, которая состоит из узлов","{'P': 0.8872221112251282, 'R': 0.8846845030784607, 'F1': 0.8859514594078064}"
Что такое градиентный спуск?,"Градиентный спуск — это метод оптимизации, используемый для минимизации функции потерь, обновляя параметры модели в направлении, противоположном градиенту.","Метод оптимизации для минимизации функции потерь, обновляя параметры модели.","метод оптимизации, используемый для минимизации функции потерь","{'P': 0.8492172956466675, 'R': 0.8434235453605652, 'F1': 0.846310555934906}"
Что такое функция потерь?,"Функция потерь измеряет разницу между предсказанными значениями модели и фактическими значениями. Она позволяет оценить, насколько хорошо работает модель.",Мера разницы между предсказанными и фактическими значениями модели.,измеряет разницу между прогнозируемыми значениями модели и фактическими значениями,"{'P': 0.8021883964538574, 'R': 0.82436603307724, 'F1': 0.8131259679794312}"
Как устроено обучение с учителем?,"При обучении с учителем модель обучается на размеченных данных, где входные данные соответствуют известным выходным значениям.",Модель обучается на размеченных данных для предсказания выходных значений.,модель обучается на основе помеченных данных,"{'P': 0.7943307757377625, 'R': 0.7410298585891724, 'F1': 0.7667551636695862}"
Что такое случайный лес?,"Случайный лес - это ансамблевая модель, состоящая из множества деревьев принятия решений, которая объединяет их предсказания для повышения точности.",Ансамблевая модель из множества деревьев принятия решений для повышения точности.,"модель ансамбля, состоящая из нескольких деревьев принятия решений","{'P': 0.7992459535598755, 'R': 0.7748571634292603, 'F1': 0.7868626117706299}"
Что такое свертка в сверточной нейронной сети?,"Свертка - это операция, применяемая к входным данным для извлечения особенностей, которая используется в сверточных нейронных сетях для обработки изображений.",Операция для извлечения особенностей из входных данных в нейронных сетях.,"операция, применяемая к входным данным для извлечения объектов","{'P': 0.7656163573265076, 'R': 0.7720915079116821, 'F1': 0.7688403725624084}"
Что такое гиперпараметры?,"Гиперпараметры - это параметры, которые устанавливаются перед обучением модели и влияют на ее производительность, такие как скорость обучения или глубина дерева.","Параметры, устанавливаемые до обучения, влияющие на производительность модели.","параметры, которые задаются перед обучением модели и влияют на ее производительность","{'P': 0.8056011199951172, 'R': 0.7953565716743469, 'F1': 0.800446093082428}"
Что такое переобучение и недообучение?,"Переобучение происходит, когда модель слишком хорошо подстраивается под данные и не обобщает. Недообучение - это когда модель не достаточна для захвата структуры данных.","Переобучение - это запись данных, недообучение - недостаточное качество модели.",когда модели недостаточно для отображения структуры данных,"{'P': 0.7311049103736877, 'R': 0.6763739585876465, 'F1': 0.7026753425598145}"
Что такое кластеризация?,"Кластеризация - это метод обучения без учителя, который группирует похожие данные в кластеры, основываясь на сходстве признаков.",Метод группировки похожих данных в кластеры на основе признаков.,метод обучения без присмотра,"{'P': 0.6723452806472778, 'R': 0.6556996703147888, 'F1': 0.6639181971549988}"
Что такое кросс-валидация?,"Кросс-валидация - это метод оценки модели, который делит данные на несколько частей, тренируя и тестируя модель на разных поднаборах.","Метод оценки, который делит данные на части для тренировки и тестирования.",метод оценки модели,"{'P': 0.7960169315338135, 'R': 0.6871806383132935, 'F1': 0.737605631351471}"
Что такое регуляризация?,"Регуляризация - это метод, используемый для уменьшения переобучения путем добавления штрафа к функции потерь в зависимости от сложности модели.",Метод уменьшения переобучения через добавление штрафа к функции потерь.,"чтобы уменьшить переобучение, добавьте штраф к функции потерь","{'P': 0.8363394141197205, 'R': 0.8333715200424194, 'F1': 0.8348528146743774}"
